gene_id	gene_name	Id1_AA	Id2_AA	Id3_control	Id4_control	baseMean_AA_vs_control	log2FoldChange_AA_vs_control	lfcSE_AA_vs_control	pvalue_AA_vs_control	padj_AA_vs_control
ENSG00000175329	ISX	6.839880874204024	6.755709994791955	11.840518719873828	11.81648204346726	1970.9702836712663	-5.363315135559288	0.1373880937959288	0	0
ENSG00000075234	TTC38	9.403671018677281	9.359621252227903	11.564128699792056	11.593564814726141	1892.4532963682645	-2.2749685631892556	0.09745041520769919	2.000954404592551e-121	5.022395555527302e-119
ENSG00000128311	TST	9.489336148384568	9.468375871764849	11.485745972649276	11.473042271076663	1808.8607090848964	-2.0714093017694903	0.0973962392650844	3.208256602765233e-101	5.368482715293823e-99
ENSG00000196576	PLXNB2	11.37982748239849	11.355241495123861	12.846193266806827	12.839557021519429	5021.231499314366	-1.5057802080056895	0.07491160379236676	1.6692754844488301e-90	2.0949407329832818e-88
ENSG00000215193	PEX26	10.598910433366516	10.57765846349431	12.677330464429506	12.38169867655903	3778.099632395713	-1.9933535805624434	0.10213947551940859	1.1658365215832256e-85	1.1704998676695586e-83
ENSG00000197077	KIAA1671	10.950495778298281	10.824132379151386	12.442014517567928	12.374212999621296	3689.1677845249574	-1.55347442966218	0.08516458486156168	5.229413472193349e-75	4.375275938401769e-73
ENSG00000100242	SUN2	8.87755635314938	8.873830302126787	10.951838820054268	10.783779073261353	1191.0775526544967	-2.085523048856283	0.11806882151009006	1.0862624759404054e-70	7.790053756029763e-69
ENSG00000244509	APOBEC3C	9.346409435324246	9.09895258950056	6.415820958971484	6.459594141079977	367.3802297660946	3.1932967348918684	0.20867542392417243	8.181362686726884e-54	5.13380508592112e-52
ENSG00000100234	TIMP3	8.805822100581935	8.724287153790918	5.6593471045349295	5.871200632046671	269.87804638600426	3.6241145515496718	0.2477126161128654	2.2856322119606723e-49	1.2748748560047305e-47
ENSG00000128309	MPST	8.498050990009487	8.560414090481526	10.34333157734902	10.249049508218384	828.2003570884385	-1.8695514489676255	0.12886270285722615	1.7439136556699146e-48	8.754446551462972e-47
ENSG00000100292	HMOX1	6.4932292075360465	6.24222597546097	9.042660535428817	8.966901708389264	320.23017668897864	-3.0391173795592787	0.21260834446766103	2.6381727502426206e-47	1.2039661096561777e-45
ENSG00000186951	PPARA	10.178118121963251	10.328329841435693	11.662856718378702	11.508566997028403	2163.21118889034	-1.3693702675575585	0.10106052142786313	2.0782142814546084e-42	8.693863077418445e-41
ENSG00000138867	GUCD1	9.73216682655293	9.7658319895916	11.029261899899499	10.92529094334965	1448.1392995092951	-1.2721132835531956	0.10425689057276627	9.121925291061926e-35	3.522466535471605e-33
ENSG00000100221	JOSD1	10.105513381651472	10.079388982239244	11.280124016699544	11.162662017334615	1749.3401457300572	-1.1641436107133085	0.09902942323606666	2.2870875007894402e-32	8.200842324259277e-31
ENSG00000183579	ZNRF3	9.887467542173269	9.681156194384524	7.652140518896148	8.101068238534914	575.7232014375454	2.0365643122007455	0.17517677884141625	4.775728993853285e-32	1.598277303276233e-30
ENSG00000075240	GRAMD4	8.830456964105183	8.85383489644853	10.354833275300212	10.169634973331371	854.7671437267161	-1.496738639067394	0.12984438710269405	2.2031958695810657e-31	6.912527040810593e-30
ENSG00000100284	TOM1	7.155612349666536	7.220428565426386	9.092459008093167	8.9809848778840209	348.3364678631362	-2.0736928002671946	0.18655668389127583	1.4883076330413377e-29	4.394884892863244e-28
ENSG00000198911	SREBF2	11.210639056881842	11.243028259699996	12.16020580176744	12.079443984661598	3432.695722282643	-0.9117363290346232	0.0821089902672295	5.732789995533702e-29	1.5988114320877326e-27
ENSG00000183773	AIFM3	5.462912208726477	5.156028520369217	8.012308264926766	7.728427879933136	156.01247600583721	-3.378634612121676	0.31881120100098786	3.369243132207593e-27	8.901895012464272e-26
ENSG00000100412	ACO2	10.726192900095505	10.699033334088059	11.670084065482778	11.594367031073741	2433.682599334058	-0.9424258121700625	0.08835656528007939	7.036083563877904e-27	1.766056974533354e-25
ENSG00000185133	INPP5J	4.891138607759456	5.164799928180549	7.716158537391046	7.552518451350615	134.18333530833115	-3.625264459262234	0.34617245570889216	1.2191470709218767e-26	2.914342045727534e-25
ENSG00000243156	MICAL3	9.419084070833085	9.494767195654834	10.736267508157377	10.53718747301479	1157.403570684478	-1.2287398884936205	0.11860813258958311	1.18645497415286e-25	2.707274531930617e-24
ENSG00000100065	CARD10	8.310077693748102	8.232280915162614	9.70647675290467	9.630616016267544	570.1012333982376	-1.4974449789369741	0.14629267633851858	3.2389717119145448e-25	7.069407823396094e-24
ENSG00000100300	TSPO	7.346614092081786	7.423335290170303	8.94526298542641	9.159867674843916	360.5782388366643	-1.859662322692915	0.18635224418046029	3.090267717597492e-24	6.463809975974755e-23
ENSG00000128342	LIF	10.169955013132595	10.052742080261298	8.849304208505608	8.941428072446552	798.8510111756192	1.2805773932077884	0.1295043170213521	1.4436953341193873e-23	2.8989402309117295e-22
ENSG00000100241	SBF1	9.852738129000175	9.702319480124444	10.759664049157964	10.808487426494956	1327.3105273845647	-1.039283531081077	0.10858502515393793	4.510953503814118e-22	8.70961022659495e-21
ENSG00000075275	CELSR1	7.1126169356356375	7.093607286274612	4.248376190546654	4.256375254197954	97.08007074644793	4.9693313180831655	0.5214571101062954	4.697742100574665e-22	8.734320498105488e-21
ENSG00000100266	PACSIN2	9.93454198204464	9.942395581373324	10.985437756211454	10.831473345817574	1459.031897782044	-1.0028840441114981	0.10605912068187437	1.3618817792706005e-21	2.4416594756922906e-20
ENSG00000100280	AP1B1	10.35824839842422	10.274484458703421	11.176445237473432	11.189608626774282	1805.5668626755187	-0.8900003636007231	0.09545166634412382	5.630341961136014e-21	9.746316084449239e-20
ENSG00000183741	CBX6	10.430646044080268	10.352194655101899	11.333255777771207	11.20605386271792	1913.1009169955591	-0.9020387728424965	0.09789278105146802	1.5525414932871316e-20	2.597919432100467e-19
ENSG00000128298	BAIAP2L2	6.775886804461683	6.938966334963177	8.741993256656887	8.384777970172571	259.53508114867793	-1.9748972664245799	0.22781093219087617	6.359064080980567e-19	1.029758118920079e-17
ENSG00000167074	TEF	7.09885799229412	7.350928345324206	9.034875999597354	8.657863531069783	317.58208897063304	-1.8267058696624265	0.21353955564441882	1.919202170530995e-18	2.919513604868362e-17
ENSG00000100138	SNU13	10.368487427846992	10.275088425115149	9.174548264248653	9.382431830406954	957.2575777230104	1.0851719586599213	0.1252489379425755	1.897613745505991e-18	2.919513604868362e-17
ENSG00000100226	GTPBP1	9.127640774382916	9.166028238748492	10.279750276860602	10.095993208608343	873.5298868606335	-1.0918268884661355	0.127187462883023	3.432426694187797e-18	5.067877060241983e-17
ENSG00000100075	SLC25A1	10.027297954830228	10.120071508862829	10.875685553374561	10.94578245869218	1506.4860394955122	-0.8626519667745757	0.10207418780211935	1.490110441878574e-17	2.137244119494412e-16
ENSG00000100345	MYH9	13.834477100321797	13.81428296214668	14.45610514939366	14.345713663388773	18090.45973143725	-0.5845331722263187	0.06941260054309992	2.741089412175697e-17	3.822296902533889e-16
ENSG00000100417	PMM1	6.3210693867296515	6.373562778313108	8.335637289180857	7.891602431610326	192.04284466886583	-2.1502191006352125	0.2668392196525084	1.011835905905219e-16	1.372815202066e-15
ENSG00000100097	LGALS1	4.438154199319929	4.532847051132325	6.789581111848757	6.464856500598858	73.50832475081862	-3.643558520189121	0.4709634744094831	1.1319858596032914e-15	1.495412898739085e-14
ENSG00000100243	CYB5R3	9.169177747942381	9.27765337666413	10.152823913593803	10.107210970405058	863.7190779190641	-0.9472291223264273	0.12266697660611951	5.24609646643388e-15	6.752667759358481e-14
ENSG00000070413	DGCR2	9.986885977805048	9.955512621444333	10.781779185207677	10.68427547758797	1357.029188131894	-0.786594754273413	0.10469569782401256	3.3050553747613315e-14	4.1478444953254715e-13
ENSG00000196236	XPNPEP3	10.214319364995806	10.202578699789882	9.23301976647422	9.431346026211598	918.621420502592	0.9091380953769699	0.12417814573226722	1.2216866362732692e-13	1.4958211985589785e-12
ENSG00000100325	ASCC2	8.924972846827773	8.844854934420265	9.739821602382076	9.890342063143752	691.7348993321274	-0.9814642568187744	0.13618522051274198	2.5229531688200905e-13	3.0155297398754414e-12
ENSG00000240972	MIF	5.165753634679889	4.876812199309034	6.674550055385467	7.088097565140807	86.56850396432166	-2.78606268542324	0.4053445554018711	6.716705881859237e-13	7.841363610914736e-12
ENSG00000189060	H1-0	11.385915917050188	11.30809015485134	12.094555346400632	11.890980371795889	3350.2361230521865	-0.6595700921659975	0.09286869115595349	8.233712756096795e-13	9.393917735364979e-12
ENSG00000099917	MED15	9.056344079239741	9.188797712514365	10.000230078197161	9.950533204737681	786.1144757802318	-0.8923578181750402	0.12774958277652432	1.398043561653933e-12	1.5595952621117206e-11
ENSG00000100401	RANGAP1	10.713295012127633	10.610334935254928	9.78307068651142	9.987009299413891	1288.1424950758887	0.7982176549110782	0.11433808204981465	1.7006614309169188e-12	1.855939213739768e-11
ENSG00000133424	LARGE1	8.229851569093977	8.217250555735186	9.263822768058285	9.187826740839789	453.3137919347089	-1.0811805948741118	0.15742858292295983	2.4850241900841513e-12	2.654217326430306e-11
ENSG00000128242	GAL3ST1	4.336287152919546	4.425197181638663	6.284784515621917	6.159161741677689	57.23775991910664	-3.3851696544157344	0.5072363145343808	2.6750328620083694e-12	2.7976385348504198e-11
ENSG00000100299	ARSA	7.137234618876178	7.146831093553583	8.366437670954326	8.394085988774378	243.0636870519395	-1.4194848323128006	0.20957773072613686	3.119742578511763e-12	3.196144437577357e-11
ENSG00000188064	WNT7B	6.300904544466807	6.489086307748915	4.489852942600929	4.689909792279229	63.428698377394	3.1082430648135286	0.47507451036772635	6.756943188360507e-12	6.783970961113948e-11
ENSG00000100181	TPTEP1	3.683392193254372	3.7271428099999655	7.138900333707274	6.869808882421631	93.69222766535238	-10.455946414799206	2.9914881100595556	1.019088382044539e-11	1.0031026819340364e-10
ENSG00000100106	TRIOBP	8.704501375498426	8.708038263672538	9.594653811437237	9.565489152279055	595.130061192414	-0.9266061022244448	0.1391031206542317	1.2780373517911298e-11	1.2337975973060522e-10
ENSG00000100092	SH3BP1	5.576553682977921	5.529908632296751	7.053341211340691	7.185747744695109	101.0609951826561	-2.165569682072339	0.33614758137931	1.5534743803964362e-11	1.4714040357717187e-10
ENSG00000100413	POLR3H	9.131407408942804	9.057084861245306	7.932662310742293	8.190274185735868	411.9330476015128	1.1127647640042715	0.1722967649142918	3.966026791246266e-11	3.6869360170474547e-10
ENSG00000186575	NF2	10.82080537016503	10.719948415014759	10.035458447089352	10.160067350806608	1425.1120214671546	0.6918619440013464	0.10610229151751832	4.604533823966544e-11	4.2026835993294633e-10
ENSG00000128268	MGAT3	4.670901951507448	4.486722001196883	6.512475143725148	6.12664230947305	61.396304072213105	-3.007258251957355	0.4837194285207123	5.2137201325656206e-11	4.673727690264181e-10
ENSG00000099995	SF3A1	11.064631870155937	10.989201916076391	10.344245220299461	10.464141419367715	1724.435780848732	0.6380195514322899	0.09933932668076677	9.37663078407248e-11	8.258015181762079e-10
ENSG00000100258	LMF2	6.53793951815693	6.517583954647189	7.743739694558254	7.876942483804279	164.45631027097514	-1.5590798000312518	0.25568793268713114	2.268087088396606e-10	1.9630684799570625e-9
ENSG00000093009	CDC45	8.483896397397682	8.576956132885458	7.136861422149117	7.539190420602798	272.1764499346348	1.3236769110353712	0.21601336274884833	2.53091257071356e-10	2.1177878410175805e-9
ENSG00000100296	THOC5	8.976532848833756	9.04406446108871	7.99102773245688	8.108234748042948	394.3036308527014	1.0430480638120083	0.1686262606098139	2.531220527112646e-10	2.1177878410175805e-9
ENSG00000185339	TCN2	4.708020706016464	5.150065593517834	6.696950333254472	6.452486475193693	71.71772577406175	-2.5503259251781647	0.43667820564140253	5.387151785423622e-10	4.433360977512555e-9
ENSG00000100350	FOXRED2	8.621488654995165	8.634456024710346	7.531049021676419	7.677959774342726	299.33970591693554	1.1367961172578844	0.19093481052493494	9.414597152068674e-10	7.62278672635238e-9
ENSG00000100304	TTLL12	10.403560752190508	10.395594707238756	10.88552485799349	11.107078463797151	1702.456300604025	-0.6158156736974737	0.10625651027408364	4.801740519244101e-9	3.826148794699268e-8
ENSG00000138944	SHISAL1	3.476526694436534	3.5028475755947497	5.824226010591101	5.352360702411953	40.874248530856576	-9.018329629108962	2.853308330750037	5.9354695635158035e-9	4.655633938882708e-8
ENSG00000099901	RANBP1	9.810268068744538	9.858996877773887	8.87505216380931	9.20403808325941	724.6199677254233	0.8207898347603932	0.14445743712108583	7.3936993349791446e-9	5.7102108710146625e-8
ENSG00000183963	SMTN	8.953511905184305	8.837738588174394	7.692378935155917	8.090588387585624	362.42846693583897	1.0780784880700167	0.1921576166564479	7.866924532778848e-9	5.983630477962093e-8
ENSG00000167065	DUSP18	7.862557986916472	8.024778102813087	6.09933391145297	6.885030353055724	177.6738775279059	1.6555677094258503	0.302651687560445	8.694514710885234e-9	6.481685649348812e-8
ENSG00000221963	APOL6	9.952894041018892	10.04284527294785	11.729590092710492	11.205288319917692	1967.2299119514714	-1.484543965498414	0.27044246164127955	8.77997259274341e-9	6.481685649348812e-8
ENSG00000100320	RBFOX2	9.517489589780324	9.520557099386092	8.800989329823231	8.749129334458738	588.4330770854178	0.7877486961577584	0.1395420500282556	9.510134438828801e-9	6.918967374336316e-8
ENSG00000130638	ATXN10	10.331944808247814	10.407097796262256	9.582439872531195	9.821548907086655	1082.1349361155212	0.6844503676396906	0.12144784522739563	1.1512651027807058e-8	8.256215451370204e-8
ENSG00000100316	RPL3	13.725495832246805	13.723926129184413	13.249475722667283	13.382766887435963	11878.374561537767	0.41259382812060164	0.07290879192856344	1.3786754995568434e-8	9.747818320810358e-8
